domain,problem,heuristics,strategy,solved,time,timeout,plan_length,expansions,memory_kb
blocks,task06,"hff,landmark",alternation,True,0.18743562698364258,False,24,63,
blocks,task07,"hff,landmark",alternation,True,0.19269084930419922,False,12,28,
blocks,task08,"hff,landmark",alternation,True,0.19172358512878418,False,14,36,
blocks,task09,"hff,landmark",alternation,True,0.18904876708984375,False,24,39,
blocks,task10,"hff,landmark",alternation,True,0.1958780288696289,False,22,30,
blocks,task11,"hff,landmark",alternation,True,0.2171022891998291,False,30,78,
blocks,task12,"hff,landmark",alternation,True,0.22455549240112305,False,30,56,
blocks,task13,"hff,landmark",alternation,True,0.32190370559692383,False,34,144,
blocks,task14,"hff,landmark",alternation,True,0.37577104568481445,False,60,246,
blocks,task15,"hff,landmark",alternation,True,0.40463733673095703,False,34,244,
blocks,task16,"hff,landmark",alternation,True,0.5842030048370361,False,60,330,
blocks,task17,"hff,landmark",alternation,True,0.6042912006378174,False,56,369,
blocks,task18,"hff,landmark",alternation,True,0.567753791809082,False,48,323,
blocks,task19,"hff,landmark",alternation,True,1.423935890197754,False,44,925,
blocks,task20,"hff,landmark",alternation,True,0.6223969459533691,False,60,247,
blocks,task21,"hff,landmark",alternation,True,1.8560967445373535,False,56,1222,
blocks,task22,"hff,landmark",alternation,True,0.5205099582672119,False,34,130,
blocks,task23,"hff,landmark",alternation,True,0.7288064956665039,False,58,262,
blocks,task24,"hff,landmark",alternation,True,0.662423849105835,False,66,219,
blocks,task25,"hff,landmark",alternation,True,2.3211376667022705,False,86,1002,
blocks,task26,"hff,landmark",alternation,True,0.9304938316345215,False,64,207,
blocks,task27,"hff,landmark",alternation,True,49.82814073562622,False,136,23487,
blocks,task28,"hff,landmark",alternation,True,2.03901743888855,False,72,557,
blocks,task29,"hff,landmark",alternation,True,2.162210464477539,False,60,379,
blocks,task30,"hff,landmark",alternation,True,2.708878517150879,False,86,603,
blocks,task31,"hff,landmark",alternation,True,77.2331211566925,False,154,25935,
blocks,task32,"hff,landmark",alternation,True,5.496919870376587,False,98,1365,
blocks,task33,"hff,landmark",alternation,True,66.13147044181824,False,110,19303,
blocks,task34,"hff,landmark",alternation,True,20.249717473983765,False,156,5958,
blocks,task35,"hff,landmark",alternation,True,90.72818374633789,False,136,19014,
blocks,task01,"landmark,lmcut",alternation,True,0.21751976013183594,False,10,12,
blocks,task02,"landmark,lmcut",alternation,True,0.17691373825073242,False,10,13,
blocks,task03,"landmark,lmcut",alternation,True,0.17940950393676758,False,6,9,
blocks,task04,"landmark,lmcut",alternation,True,0.21935486793518066,False,12,17,
blocks,task05,"landmark,lmcut",alternation,True,0.2766568660736084,False,16,60,
blocks,task06,"landmark,lmcut",alternation,True,0.2564573287963867,False,16,47,
blocks,task07,"landmark,lmcut",alternation,True,0.31035733222961426,False,24,44,
blocks,task08,"landmark,lmcut",alternation,True,0.2743685245513916,False,14,28,
blocks,task09,"landmark,lmcut",alternation,True,0.29103994369506836,False,24,37,
blocks,task10,"landmark,lmcut",alternation,True,0.31424927711486816,False,22,29,
blocks,task11,"landmark,lmcut",alternation,True,0.4069821834564209,False,26,57,
blocks,task12,"landmark,lmcut",alternation,True,0.5531187057495117,False,28,51,
blocks,task13,"landmark,lmcut",alternation,True,1.8328115940093994,False,66,234,
blocks,task14,"landmark,lmcut",alternation,True,0.6593852043151855,False,30,63,
blocks,task15,"landmark,lmcut",alternation,True,0.528914213180542,False,22,44,
blocks,task16,"landmark,lmcut",alternation,True,3.176652193069458,False,60,257,
blocks,task17,"landmark,lmcut",alternation,True,7.409079313278198,False,60,689,
blocks,task18,"landmark,lmcut",alternation,True,4.535233020782471,False,48,314,
blocks,task19,"landmark,lmcut",alternation,True,30.189751863479614,False,44,1571,
blocks,task20,"landmark,lmcut",alternation,True,5.215331554412842,False,60,380,
blocks,task21,"landmark,lmcut",alternation,True,3.602731943130493,False,48,198,
blocks,task22,"landmark,lmcut",alternation,True,2.0000243186950684,False,34,55,
blocks,task23,"landmark,lmcut",alternation,True,4.8363635540008545,False,62,285,
blocks,task24,"landmark,lmcut",alternation,True,3.1481943130493164,False,68,181,
blocks,task25,"landmark,lmcut",alternation,True,27.577062129974365,False,86,1282,
blocks,task26,"landmark,lmcut",alternation,True,5.228774309158325,False,60,161,
blocks,task27,"landmark,lmcut",alternation,True,120.76457524299622,False,86,4228,
blocks,task28,"landmark,lmcut",alternation,True,16.56254506111145,False,72,558,
blocks,task29,"landmark,lmcut",alternation,True,19.355765104293823,False,82,499,
blocks,task30,"landmark,lmcut",alternation,False,300,True,,,
blocks,task31,"landmark,lmcut",alternation,True,205.23745441436768,False,160,4098,
blocks,task32,"landmark,lmcut",alternation,False,300,True,,,
blocks,task33,"landmark,lmcut",alternation,False,300,True,,,
blocks,task34,"landmark,lmcut",alternation,True,275.5857093334198,False,80,6169,
blocks,task35,"landmark,lmcut",alternation,False,300,True,,,
logistics,task01,"hff,hadd",alternation,True,0.26415562629699707,False,20,29,
logistics,task02,"hff,hadd",alternation,True,0.19676899909973145,False,19,23,
logistics,task03,"hff,hadd",alternation,True,0.1903836727142334,False,15,16,
logistics,task04,"hff,hadd",alternation,True,0.24758267402648926,False,27,38,
logistics,task05,"hff,hadd",alternation,True,0.2180795669555664,False,17,20,
logistics,task06,"hff,hadd",alternation,True,0.1770925521850586,False,8,9,
logistics,task07,"hff,hadd",alternation,True,0.24811530113220215,False,25,35,
logistics,task08,"hff,hadd",alternation,True,0.19872164726257324,False,14,15,
logistics,task09,"hff,hadd",alternation,True,0.23471903800964355,False,25,32,
logistics,task10,"hff,hadd",alternation,True,0.22906804084777832,False,24,31,
logistics,task11,"hff,hadd",alternation,True,0.4244523048400879,False,36,45,
logistics,task12,"hff,hadd",alternation,True,0.5513064861297607,False,44,61,
logistics,task13,"hff,hadd",alternation,True,0.5046675205230713,False,34,43,
logistics,task14,"hff,hadd",alternation,True,0.5923738479614258,False,51,62,
logistics,task15,"hff,hadd",alternation,True,0.5417594909667969,False,36,45,
logistics,task16,"hff,hadd",alternation,True,0.6322665214538574,False,30,45,
logistics,task17,"hff,hadd",alternation,True,1.2902932167053223,False,46,60,
logistics,task18,"hff,hadd",alternation,True,1.3838422298431396,False,42,75,
logistics,task19,"hff,hadd",alternation,True,1.5920164585113525,False,51,72,
logistics,task20,"hff,hadd",alternation,True,1.8089449405670166,False,66,97,
logistics,task21,"hff,hadd",alternation,True,1.390258550643921,False,45,68,
logistics,task22,"hff,hadd",alternation,True,2.050581455230713,False,72,94,
logistics,task23,"hff,hadd",alternation,True,6.0505805015563965,False,83,133,
logistics,task24,"hff,hadd",alternation,True,3.354628324508667,False,67,78,
logistics,task25,"hff,hadd",alternation,True,4.586647033691406,False,58,93,
logistics,task26,"hff,hadd",alternation,True,6.235500812530518,False,76,122,
logistics,task27,"hff,hadd",alternation,True,8.910472631454468,False,89,152,
logistics,task28,"hff,hadd",alternation,True,7.601339817047119,False,73,143,
logistics,task01,"hmax,lmcut",alternation,True,0.34720396995544434,False,20,26,
logistics,task02,"hmax,lmcut",alternation,True,0.3808290958404541,False,19,38,
logistics,task03,"hmax,lmcut",alternation,True,0.25571441650390625,False,15,23,
logistics,task04,"hmax,lmcut",alternation,True,0.7401721477508545,False,27,45,
logistics,task05,"hmax,lmcut",alternation,True,0.3693578243255615,False,17,27,
logistics,task06,"hmax,lmcut",alternation,True,0.21360135078430176,False,8,11,
logistics,task07,"hmax,lmcut",alternation,True,0.7757551670074463,False,25,43,
logistics,task08,"hmax,lmcut",alternation,True,0.3160099983215332,False,14,18,
logistics,task09,"hmax,lmcut",alternation,True,0.8811383247375488,False,26,50,
logistics,task10,"hmax,lmcut",alternation,True,0.6085453033447266,False,24,38,
logistics,task11,"hmax,lmcut",alternation,True,5.248941898345947,False,38,97,
logistics,task12,"hmax,lmcut",alternation,True,5.57626485824585,False,44,90,
logistics,task13,"hmax,lmcut",alternation,True,3.212574005126953,False,31,62,
logistics,task14,"hmax,lmcut",alternation,True,8.100636720657349,False,45,89,
logistics,task15,"hmax,lmcut",alternation,True,5.143256664276123,False,38,71,
logistics,task16,"hmax,lmcut",alternation,True,3.2935409545898438,False,31,59,
logistics,task17,"hmax,lmcut",alternation,True,17.823750734329224,False,46,102,
logistics,task18,"hmax,lmcut",alternation,True,14.852096796035767,False,42,89,
logistics,task19,"hmax,lmcut",alternation,True,21.03778600692749,False,49,93,
logistics,task20,"hmax,lmcut",alternation,True,40.51022458076477,False,63,154,
logistics,task21,"hmax,lmcut",alternation,True,20.196917295455933,False,43,96,
logistics,task22,"hmax,lmcut",alternation,True,64.29469752311707,False,74,180,
logistics,task23,"hmax,lmcut",alternation,True,177.95395946502686,False,81,202,
logistics,task24,"hmax,lmcut",alternation,True,111.77859568595886,False,64,144,
logistics,task25,"hmax,lmcut",alternation,True,150.43167662620544,False,66,207,
logistics,task26,"hmax,lmcut",alternation,True,170.85071849822998,False,77,170,
logistics,task27,"hmax,lmcut",alternation,True,211.94254899024963,False,83,181,
logistics,task28,"hmax,lmcut",alternation,True,161.3702027797699,False,69,150,
logistics,task01,"hff,landmark",alternation,True,0.22628068923950195,False,20,29,
logistics,task02,"hff,landmark",alternation,True,0.19455313682556152,False,19,20,
logistics,task03,"hff,landmark",alternation,True,0.18602299690246582,False,15,16,
logistics,task04,"hff,landmark",alternation,True,0.21172380447387695,False,27,28,
logistics,task05,"hff,landmark",alternation,True,0.21152186393737793,False,17,22,
logistics,task06,"hff,landmark",alternation,True,0.17241930961608887,False,8,9,
logistics,task07,"hff,landmark",alternation,True,0.20903754234313965,False,25,26,
logistics,task08,"hff,landmark",alternation,True,0.2029130458831787,False,14,15,
logistics,task09,"hff,landmark",alternation,True,0.21184134483337402,False,25,26,
logistics,task10,"hff,landmark",alternation,True,0.20091795921325684,False,24,25,
logistics,task11,"hff,landmark",alternation,True,0.366546630859375,False,37,44,
logistics,task12,"hff,landmark",alternation,True,0.39316797256469727,False,44,45,
logistics,task13,"hff,landmark",alternation,True,0.3460407257080078,False,31,33,
logistics,task14,"hff,landmark",alternation,True,0.4296140670776367,False,45,46,
logistics,task15,"hff,landmark",alternation,True,0.4583323001861572,False,36,51,
logistics,task16,"hff,landmark",alternation,True,0.5060322284698486,False,30,35,
logistics,task17,"hff,landmark",alternation,True,1.1585173606872559,False,45,56,
logistics,task18,"hff,landmark",alternation,True,0.9216864109039307,False,42,51,
logistics,task19,"hff,landmark",alternation,True,1.2098186016082764,False,48,64,
logistics,task20,"hff,landmark",alternation,True,1.3691518306732178,False,61,66,
logistics,task21,"hff,landmark",alternation,True,0.9626576900482178,False,44,47,
logistics,task22,"hff,landmark",alternation,True,1.5867364406585693,False,69,89,
logistics,task23,"hff,landmark",alternation,True,9.796955585479736,False,82,356,
logistics,task24,"hff,landmark",alternation,True,3.9691379070281982,False,65,114,
logistics,task25,"hff,landmark",alternation,True,4.199151515960693,False,58,105,
logistics,task26,"hff,landmark",alternation,True,5.566277265548706,False,76,154,
logistics,task27,"hff,landmark",alternation,True,23.34910535812378,False,87,761,
logistics,task28,"hff,landmark",alternation,True,6.700923919677734,False,71,191,
logistics,task01,"landmark,lmcut",alternation,True,0.33545517921447754,False,20,24,
logistics,task02,"landmark,lmcut",alternation,True,0.278033971786499,False,19,20,
logistics,task03,"landmark,lmcut",alternation,True,0.228729248046875,False,15,16,
logistics,task04,"landmark,lmcut",alternation,True,0.47649574279785156,False,27,28,
logistics,task05,"landmark,lmcut",alternation,True,0.30277228355407715,False,17,18,
logistics,task06,"landmark,lmcut",alternation,True,0.21516156196594238,False,8,9,
logistics,task07,"landmark,lmcut",alternation,True,0.5135626792907715,False,25,26,
logistics,task08,"landmark,lmcut",alternation,True,0.36814284324645996,False,14,17,
logistics,task09,"landmark,lmcut",alternation,True,0.5046188831329346,False,25,26,
logistics,task10,"landmark,lmcut",alternation,True,0.44247007369995117,False,24,25,
logistics,task11,"landmark,lmcut",alternation,True,2.5690643787384033,False,37,40,
logistics,task12,"landmark,lmcut",alternation,True,3.340071439743042,False,44,45,
logistics,task13,"landmark,lmcut",alternation,True,1.9459753036499023,False,31,36,
logistics,task14,"landmark,lmcut",alternation,True,3.570570230484009,False,45,46,
logistics,task15,"landmark,lmcut",alternation,True,3.068739652633667,False,36,44,
logistics,task16,"landmark,lmcut",alternation,True,2.4312331676483154,False,30,40,
logistics,task17,"landmark,lmcut",alternation,True,7.696141719818115,False,45,47,
logistics,task18,"landmark,lmcut",alternation,True,6.7290685176849365,False,42,45,
logistics,task19,"landmark,lmcut",alternation,True,11.760120153427124,False,48,59,
logistics,task20,"landmark,lmcut",alternation,True,15.463167190551758,False,61,62,
logistics,task21,"landmark,lmcut",alternation,True,9.588045120239258,False,44,47,
logistics,task22,"landmark,lmcut",alternation,True,25.354218244552612,False,69,77,
logistics,task23,"landmark,lmcut",alternation,True,133.18439149856567,False,83,176,
logistics,task24,"landmark,lmcut",alternation,True,65.08183979988098,False,64,93,
logistics,task25,"landmark,lmcut",alternation,True,92.45437145233154,False,65,150,
logistics,task26,"landmark,lmcut",alternation,True,117.61001133918762,False,74,124,
logistics,task27,"landmark,lmcut",alternation,True,185.826397895813,False,84,185,
logistics,task28,"landmark,lmcut",alternation,True,133.9522066116333,False,71,150,
zenotravel,task01,"hff,hadd",alternation,True,0.21265220642089844,False,1,2,
zenotravel,task02,"hff,hadd",alternation,True,0.1887516975402832,False,6,7,
zenotravel,task03,"hff,hadd",alternation,True,0.25603222846984863,False,6,7,
zenotravel,task04,"hff,hadd",alternation,True,0.2567470073699951,False,8,9,
zenotravel,task05,"hff,hadd",alternation,True,0.3472785949707031,False,12,15,
zenotravel,task06,"hff,hadd",alternation,True,0.5087020397186279,False,14,18,
zenotravel,task07,"hff,hadd",alternation,True,0.40486574172973633,False,16,23,
zenotravel,task08,"hff,hadd",alternation,True,1.3204097747802734,False,12,21,
zenotravel,task09,"hff,hadd",alternation,True,1.7297403812408447,False,24,33,
zenotravel,task10,"hff,hadd",alternation,True,5.322207927703857,False,26,148,
zenotravel,task11,"hff,hadd",alternation,True,2.706674098968506,False,17,24,
zenotravel,task12,"hff,hadd",alternation,True,4.497235536575317,False,23,37,
zenotravel,task13,"hff,hadd",alternation,True,4.833677291870117,False,28,40,
zenotravel,task14,"hff,hadd",alternation,True,153.9802224636078,False,33,236,
zenotravel,task15,"hff,hadd",alternation,True,128.10920763015747,False,44,170,
zenotravel,task16,"hff,hadd",alternation,False,300,True,,,
zenotravel,task17,"hff,hadd",alternation,False,300,True,,,
zenotravel,task18,"hff,hadd",alternation,False,300,True,,,
zenotravel,task19,"hff,hadd",alternation,False,300,True,,,
zenotravel,task20,"hff,hadd",alternation,False,300,True,,,
zenotravel,task01,"hmax,lmcut",alternation,True,0.1875908374786377,False,1,2,
zenotravel,task02,"hmax,lmcut",alternation,True,0.20508718490600586,False,6,8,
zenotravel,task03,"hmax,lmcut",alternation,True,0.5393762588500977,False,6,13,
zenotravel,task04,"hmax,lmcut",alternation,True,0.4290776252746582,False,8,13,
zenotravel,task05,"hmax,lmcut",alternation,True,0.9654750823974609,False,11,18,
zenotravel,task06,"hmax,lmcut",alternation,True,1.4386827945709229,False,11,16,
zenotravel,task07,"hmax,lmcut",alternation,True,1.6838932037353516,False,16,37,
zenotravel,task08,"hmax,lmcut",alternation,True,10.949480295181274,False,16,49,
zenotravel,task09,"hmax,lmcut",alternation,True,18.761480808258057,False,24,56,
zenotravel,task10,"hmax,lmcut",alternation,True,21.709861040115356,False,22,45,
zenotravel,task11,"hmax,lmcut",alternation,True,17.98124384880066,False,15,36,
zenotravel,task12,"hmax,lmcut",alternation,True,61.254494190216064,False,25,132,
zenotravel,task13,"hmax,lmcut",alternation,True,85.77195906639099,False,32,99,
zenotravel,task14,"hmax,lmcut",alternation,False,300,True,,,
zenotravel,task15,"hmax,lmcut",alternation,False,300,True,,,
zenotravel,task16,"hmax,lmcut",alternation,False,300,True,,,
zenotravel,task17,"hmax,lmcut",alternation,False,300,True,,,
zenotravel,task18,"hmax,lmcut",alternation,False,300,True,,,
zenotravel,task19,"hmax,lmcut",alternation,False,300,True,,,
zenotravel,task20,"hmax,lmcut",alternation,False,300,True,,,
zenotravel,task01,"hff,landmark",alternation,True,0.20116138458251953,False,1,2,
zenotravel,task02,"hff,landmark",alternation,True,0.18579649925231934,False,6,8,
zenotravel,task03,"hff,landmark",alternation,True,0.3094155788421631,False,6,11,
zenotravel,task04,"hff,landmark",alternation,True,0.24341154098510742,False,8,17,
zenotravel,task05,"hff,landmark",alternation,True,0.33320188522338867,False,11,21,
zenotravel,task06,"hff,landmark",alternation,True,0.38006591796875,False,12,17,
zenotravel,task07,"hff,landmark",alternation,True,0.36998677253723145,False,18,44,
zenotravel,task08,"hff,landmark",alternation,True,1.8154630661010742,False,14,63,
zenotravel,task09,"hff,landmark",alternation,True,1.779456615447998,False,24,60,
zenotravel,task10,"hff,landmark",alternation,True,1.4747157096862793,False,26,42,
zenotravel,task11,"hff,landmark",alternation,True,2.421292304992676,False,16,38,
zenotravel,task12,"hff,landmark",alternation,True,3.5976548194885254,False,24,71,
zenotravel,task13,"hff,landmark",alternation,True,44.82981252670288,False,33,873,
zenotravel,task14,"hff,landmark",alternation,True,61.81957530975342,False,33,138,
zenotravel,task15,"hff,landmark",alternation,True,267.1007719039917,False,46,590,
zenotravel,task16,"hff,landmark",alternation,False,300,True,,,
zenotravel,task17,"hff,landmark",alternation,False,300,True,,,
zenotravel,task18,"hff,landmark",alternation,False,300,True,,,
zenotravel,task19,"hff,landmark",alternation,False,300,True,,,
zenotravel,task20,"hff,landmark",alternation,False,300,True,,,
zenotravel,task01,"landmark,lmcut",alternation,True,0.18624424934387207,False,1,2,
zenotravel,task02,"landmark,lmcut",alternation,True,0.21207237243652344,False,6,10,
zenotravel,task03,"landmark,lmcut",alternation,True,0.44847655296325684,False,6,11,
zenotravel,task04,"landmark,lmcut",alternation,True,0.5104928016662598,False,8,17,
zenotravel,task05,"landmark,lmcut",alternation,True,1.0548334121704102,False,11,21,
zenotravel,task06,"landmark,lmcut",alternation,True,2.1668293476104736,False,14,32,
zenotravel,task07,"landmark,lmcut",alternation,True,1.745764970779419,False,18,44,
zenotravel,task08,"landmark,lmcut",alternation,True,14.09606409072876,False,13,63,
zenotravel,task09,"landmark,lmcut",alternation,True,17.568650722503662,False,23,56,
zenotravel,task10,"landmark,lmcut",alternation,True,16.136955499649048,False,24,45,
zenotravel,task11,"landmark,lmcut",alternation,True,16.101287603378296,False,16,40,
zenotravel,task12,"landmark,lmcut",alternation,True,24.381159782409668,False,25,55,
zenotravel,task13,"landmark,lmcut",alternation,True,48.38637065887451,False,30,76,
zenotravel,task14,"landmark,lmcut",alternation,False,300,True,,,
zenotravel,task15,"landmark,lmcut",alternation,False,300,True,,,
zenotravel,task16,"landmark,lmcut",alternation,False,300,True,,,
zenotravel,task17,"landmark,lmcut",alternation,False,300,True,,,
zenotravel,task18,"landmark,lmcut",alternation,False,300,True,,,
zenotravel,task19,"landmark,lmcut",alternation,False,300,True,,,
zenotravel,task20,"landmark,lmcut",alternation,False,300,True,,,
parcprinter,task01,"hff,hadd",alternation,True,0.24371552467346191,False,8,9,
parcprinter,task02,"hff,hadd",alternation,True,0.25294017791748047,False,15,16,
parcprinter,task03,"hff,hadd",alternation,True,0.22069716453552246,False,22,23,
parcprinter,task04,"hff,hadd",alternation,True,0.2728743553161621,False,29,30,
parcprinter,task05,"hff,hadd",alternation,True,0.4536123275756836,False,36,37,
parcprinter,task06,"hff,hadd",alternation,True,0.4345541000366211,False,43,44,
parcprinter,task07,"hff,hadd",alternation,True,0.5784807205200195,False,50,51,
parcprinter,task08,"hff,hadd",alternation,True,0.673931360244751,False,57,58,
parcprinter,task09,"hff,hadd",alternation,True,0.8826034069061279,False,64,65,
parcprinter,task10,"hff,hadd",alternation,True,1.0783882141113281,False,71,72,
parcprinter,task11,"hff,hadd",alternation,True,0.21344947814941406,False,9,10,
parcprinter,task12,"hff,hadd",alternation,True,0.20885491371154785,False,17,18,
parcprinter,task13,"hff,hadd",alternation,True,0.2735941410064697,False,25,26,
parcprinter,task14,"hff,hadd",alternation,True,0.38161325454711914,False,33,34,
parcprinter,task15,"hff,hadd",alternation,True,0.6719679832458496,False,49,71,
parcprinter,task16,"hff,hadd",alternation,True,0.8175513744354248,False,49,50,
parcprinter,task17,"hff,hadd",alternation,True,1.2801337242126465,False,57,58,
parcprinter,task18,"hff,hadd",alternation,True,1.6635284423828125,False,65,66,
parcprinter,task19,"hff,hadd",alternation,True,3.390751600265503,False,89,174,
parcprinter,task20,"hff,hadd",alternation,True,3.9184045791625977,False,89,113,
parcprinter,task21,"hff,hadd",alternation,True,0.19303154945373535,False,8,9,
parcprinter,task22,"hff,hadd",alternation,True,0.19191575050354004,False,15,16,
parcprinter,task23,"hff,hadd",alternation,True,0.22238445281982422,False,22,23,
parcprinter,task24,"hff,hadd",alternation,True,0.2990117073059082,False,29,30,
parcprinter,task25,"hff,hadd",alternation,True,0.4953467845916748,False,40,49,
parcprinter,task26,"hff,hadd",alternation,True,0.6198654174804688,False,43,44,
parcprinter,task27,"hff,hadd",alternation,True,1.037689447402954,False,50,51,
parcprinter,task28,"hff,hadd",alternation,True,1.4312725067138672,False,57,58,
parcprinter,task29,"hff,hadd",alternation,True,3.727473020553589,False,72,115,
parcprinter,task30,"hff,hadd",alternation,True,2.9356603622436523,False,75,81,
parcprinter,task01,"hmax,lmcut",alternation,True,0.17139196395874023,False,8,9,
parcprinter,task02,"hmax,lmcut",alternation,True,0.19617652893066406,False,15,16,
parcprinter,task03,"hmax,lmcut",alternation,True,0.2612733840942383,False,22,25,
parcprinter,task04,"hmax,lmcut",alternation,True,0.9943163394927979,False,29,58,
parcprinter,task05,"hmax,lmcut",alternation,True,1.3855609893798828,False,36,56,
parcprinter,task06,"hmax,lmcut",alternation,True,3.3764522075653076,False,43,71,
parcprinter,task07,"hmax,lmcut",alternation,True,8.314420700073242,False,50,93,
parcprinter,task08,"hmax,lmcut",alternation,True,14.887346744537354,False,57,116,
parcprinter,task09,"hmax,lmcut",alternation,True,23.47438907623291,False,64,127,
