domain,problem,heuristic,solved,time,timeout,plan_length,expansions,generated,evaluations,memory_kb
blocks,task14,hmax,True,1.503798484802246,False,22,706,2785,3900,
blocks,task15,hmax,True,1.4459433555603027,False,20,680,2703,3783,
blocks,task16,hmax,True,3.2403604984283447,False,30,1193,5415,7362,
blocks,task17,hmax,True,3.109335422515869,False,32,1178,5388,7309,
blocks,task18,hmax,True,3.1123716831207275,False,30,1167,5375,7279,
blocks,task19,hmax,True,6.557519912719727,False,34,1858,9751,12865,
blocks,task20,hmax,True,7.625421047210693,False,34,1904,10066,13249,
blocks,task21,hmax,True,7.093420743942261,False,34,1839,9770,12849,
blocks,task22,hmax,True,16.085075855255127,False,36,3329,19657,25425,
blocks,task23,hmax,True,19.501294374465942,False,34,4200,23750,31310,
blocks,task24,hmax,True,13.021310567855835,False,38,2870,17262,22148,
blocks,task25,hmax,True,26.297800302505493,False,40,4126,27853,35002,
blocks,task26,hmax,True,24.10272216796875,False,42,4006,27085,34043,
blocks,task27,hmax,True,45.02225184440613,False,44,5716,42918,52949,
blocks,task28,hmax,True,43.49979281425476,False,44,5787,43405,53540,
blocks,task29,hmax,True,78.17063188552856,False,48,8005,66118,80268,
blocks,task30,hmax,False,300,True,,,,,
blocks,task31,hmax,False,300,True,,,,,
blocks,task32,hmax,True,134.14526224136353,False,54,10512,95028,113842,
blocks,task33,hmax,False,300,True,,,,,
blocks,task34,hmax,True,209.62020540237427,False,58,13483,132177,156570,
blocks,task35,hmax,False,300,True,,,,,
blocks,task01,lmcut,True,0.18751144409179688,False,6,10,22,30,
blocks,task02,lmcut,True,0.16639256477355957,False,10,12,19,29,
blocks,task03,lmcut,True,0.16425418853759766,False,6,8,15,21,
blocks,task04,lmcut,True,0.18303203582763672,False,12,16,26,40,
blocks,task05,lmcut,True,0.1885690689086914,False,10,21,42,62,
blocks,task06,lmcut,True,0.2339918613433838,False,20,35,61,97,
blocks,task07,lmcut,True,0.27428197860717773,False,12,29,50,77,
blocks,task08,lmcut,True,0.22594213485717773,False,10,15,46,59,
blocks,task09,lmcut,True,0.3537592887878418,False,32,52,103,156,
blocks,task10,lmcut,True,0.3657400608062744,False,22,27,60,85,
blocks,task11,lmcut,True,1.5030097961425781,False,32,175,376,582,
blocks,task12,lmcut,True,1.216151475906372,False,34,163,328,513,
blocks,task13,lmcut,True,2.483093500137329,False,34,214,484,741,
blocks,task14,lmcut,True,1.3091466426849365,False,28,95,205,319,
blocks,task15,lmcut,True,0.4249422550201416,False,18,31,85,115,
blocks,task16,lmcut,True,20.81961226463318,False,76,1202,2513,4124,
blocks,task17,lmcut,True,1.7901480197906494,False,36,85,222,313,
blocks,task18,lmcut,True,1.417039155960083,False,44,92,221,316,
blocks,task19,lmcut,True,28.00009822845459,False,44,1171,2684,4310,
blocks,task20,lmcut,True,53.707900285720825,False,76,2247,5101,8266,
blocks,task21,lmcut,True,3.9678149223327637,False,44,157,483,676,
blocks,task22,lmcut,True,2.9064338207244873,False,38,103,260,374,
blocks,task23,lmcut,True,5.575186729431152,False,58,215,554,809,
blocks,task24,lmcut,True,24.676583528518677,False,68,817,1886,2973,
blocks,task25,lmcut,True,30.96659278869629,False,94,890,2249,3494,
blocks,task26,lmcut,True,8.688305377960205,False,58,231,549,828,
blocks,task27,lmcut,True,195.04518389701843,False,88,3965,9460,15227,
blocks,task28,lmcut,False,300,True,,,,,
blocks,task29,lmcut,True,34.360403060913086,False,76,614,1662,2479,
blocks,task30,lmcut,False,300,True,,,,,
blocks,task31,lmcut,False,300,True,,,,,
blocks,task32,lmcut,True,185.24841690063477,False,110,2208,6185,9300,
blocks,task33,lmcut,False,300,True,,,,,
blocks,task34,lmcut,False,300,True,,,,,
blocks,task35,lmcut,False,300,True,,,,,
blocks,task01,landmark,True,0.17162823677062988,False,10,13,22,34,
blocks,task02,landmark,True,0.16032052040100098,False,10,122,128,263,
blocks,task03,landmark,True,0.15372681617736816,False,6,9,16,23,
blocks,task04,landmark,True,0.14932823181152344,False,12,250,300,591,
blocks,task05,landmark,True,0.1614229679107666,False,28,98,135,243,
blocks,task06,landmark,True,0.18010187149047852,False,24,75,122,209,
blocks,task07,landmark,True,0.16292977333068848,False,34,136,223,382,
blocks,task08,landmark,True,0.1719954013824463,False,20,31,63,93,
blocks,task09,landmark,True,0.17322921752929688,False,24,59,109,170,
blocks,task10,landmark,True,0.18085622787475586,False,24,32,68,99,
blocks,task11,landmark,True,0.17698907852172852,False,30,74,154,234,
blocks,task12,landmark,True,0.18823003768920898,False,30,58,128,190,
blocks,task13,landmark,True,0.2144150733947754,False,34,185,358,576,
blocks,task14,landmark,True,0.1912221908569336,False,60,306,594,965,
blocks,task15,landmark,True,0.2784125804901123,False,70,1369,2407,4274,
blocks,task16,landmark,True,0.27434253692626953,False,60,518,1004,1714,
blocks,task17,landmark,True,0.25908827781677246,False,56,670,1314,2200,
blocks,task18,landmark,True,0.3123183250427246,False,58,1007,1776,3201,
blocks,task19,landmark,True,0.6248166561126709,False,100,5666,10547,19149,
blocks,task20,landmark,True,0.7065219879150391,False,78,785,1568,2609,
blocks,task21,landmark,True,0.8019416332244873,False,88,5775,11237,20179,
blocks,task22,landmark,True,0.5394108295440674,False,70,2048,3663,6510,
blocks,task23,landmark,True,2.609555959701538,False,122,28144,51065,96538,
blocks,task24,landmark,True,0.46802663803100586,False,66,286,628,996,
blocks,task25,landmark,True,0.7466621398925781,False,90,3718,6884,12000,
blocks,task26,landmark,True,0.471738338470459,False,64,278,748,1093,
blocks,task27,landmark,True,6.077760457992554,False,128,60340,111276,209155,
blocks,task28,landmark,True,1.031212329864502,False,108,3420,7052,11869,
blocks,task29,landmark,True,1.1112256050109863,False,104,1806,4213,6764,
blocks,task30,landmark,True,0.8418591022491455,False,90,1189,3033,4778,
blocks,task31,landmark,True,3.687791585922241,False,146,21994,43845,80083,
blocks,task32,landmark,True,1.4213175773620605,False,94,2475,6134,9955,
