domain,problem,heuristics,strategy,n_heuristics,solved,time,timeout,plan_length,expansions
blocks,task35,"hadd,hff,landmark",alternation,3,True,52.080974102020264,False,168,
logistics,task01,"hadd,hff,landmark",max,3,True,0.23621034622192383,False,20,
logistics,task02,"hadd,hff,landmark",max,3,True,0.22054028511047363,False,21,
logistics,task03,"hadd,hff,landmark",max,3,True,0.2173466682434082,False,15,
logistics,task04,"hadd,hff,landmark",max,3,True,0.23328733444213867,False,32,
logistics,task05,"hadd,hff,landmark",max,3,True,0.22147917747497559,False,19,
logistics,task06,"hadd,hff,landmark",max,3,True,0.20127129554748535,False,8,
logistics,task07,"hadd,hff,landmark",max,3,True,0.2502598762512207,False,28,
logistics,task08,"hadd,hff,landmark",max,3,True,0.21924924850463867,False,14,
logistics,task09,"hadd,hff,landmark",max,3,True,0.28736424446105957,False,29,
logistics,task10,"hadd,hff,landmark",max,3,True,0.24381494522094727,False,24,
logistics,task11,"hadd,hff,landmark",max,3,True,0.5167944431304932,False,41,
logistics,task12,"hadd,hff,landmark",max,3,True,0.5229930877685547,False,46,
logistics,task13,"hadd,hff,landmark",max,3,True,0.47507786750793457,False,34,
logistics,task14,"hadd,hff,landmark",max,3,True,0.6722719669342041,False,52,
logistics,task15,"hadd,hff,landmark",max,3,True,0.6438925266265869,False,44,
logistics,task16,"hadd,hff,landmark",max,3,True,0.6210670471191406,False,37,
logistics,task17,"hadd,hff,landmark",max,3,True,1.6254453659057617,False,49,
logistics,task18,"hadd,hff,landmark",max,3,True,1.1230082511901855,False,46,
logistics,task19,"hadd,hff,landmark",max,3,True,1.4982712268829346,False,58,
logistics,task20,"hadd,hff,landmark",max,3,True,2.1354217529296875,False,70,
logistics,task21,"hadd,hff,landmark",max,3,True,2.9616284370422363,False,50,
logistics,task22,"hadd,hff,landmark",max,3,True,2.734231472015381,False,82,
logistics,task23,"hadd,hff,landmark",max,3,True,5.724365234375,False,83,
logistics,task24,"hadd,hff,landmark",max,3,True,4.5091552734375,False,67,
logistics,task25,"hadd,hff,landmark",max,3,True,5.083881855010986,False,68,
logistics,task26,"hadd,hff,landmark",max,3,True,6.462568521499634,False,86,
logistics,task27,"hadd,hff,landmark",max,3,True,7.793254852294922,False,90,
logistics,task28,"hadd,hff,landmark",max,3,True,6.237760782241821,False,78,
logistics,task01,"hadd,hff,landmark",alternation,3,True,0.22651410102844238,False,20,
logistics,task02,"hadd,hff,landmark",alternation,3,True,0.20972776412963867,False,19,
logistics,task03,"hadd,hff,landmark",alternation,3,True,0.18906259536743164,False,15,
logistics,task04,"hadd,hff,landmark",alternation,3,True,0.3114588260650635,False,28,
logistics,task05,"hadd,hff,landmark",alternation,3,True,0.2340846061706543,False,17,
logistics,task06,"hadd,hff,landmark",alternation,3,True,0.1837756633758545,False,8,
logistics,task07,"hadd,hff,landmark",alternation,3,True,0.25779223442077637,False,26,
logistics,task08,"hadd,hff,landmark",alternation,3,True,0.21933794021606445,False,14,
logistics,task09,"hadd,hff,landmark",alternation,3,True,0.2301013469696045,False,25,
logistics,task10,"hadd,hff,landmark",alternation,3,True,0.2333662509918213,False,24,
logistics,task11,"hadd,hff,landmark",alternation,3,True,0.5037136077880859,False,37,
logistics,task12,"hadd,hff,landmark",alternation,3,True,0.6099708080291748,False,44,
logistics,task13,"hadd,hff,landmark",alternation,3,True,0.5006551742553711,False,34,
logistics,task14,"hadd,hff,landmark",alternation,3,True,0.6108982563018799,False,46,
logistics,task15,"hadd,hff,landmark",alternation,3,True,0.5852096080780029,False,41,
logistics,task16,"hadd,hff,landmark",alternation,3,True,0.5782871246337891,False,37,
logistics,task17,"hadd,hff,landmark",alternation,3,True,1.4200406074523926,False,49,
logistics,task18,"hadd,hff,landmark",alternation,3,True,1.2668964862823486,False,45,
logistics,task19,"hadd,hff,landmark",alternation,3,True,1.7500357627868652,False,58,
logistics,task20,"hadd,hff,landmark",alternation,3,True,1.718604326248169,False,66,
logistics,task21,"hadd,hff,landmark",alternation,3,True,1.6096348762512207,False,47,
logistics,task22,"hadd,hff,landmark",alternation,3,True,2.5596466064453125,False,75,
logistics,task23,"hadd,hff,landmark",alternation,3,True,7.317961931228638,False,80,
logistics,task24,"hadd,hff,landmark",alternation,3,True,6.820533514022827,False,66,
logistics,task25,"hadd,hff,landmark",alternation,3,True,8.244133949279785,False,62,
logistics,task26,"hadd,hff,landmark",alternation,3,True,12.030456066131592,False,76,
logistics,task27,"hadd,hff,landmark",alternation,3,True,15.430617332458496,False,94,
logistics,task28,"hadd,hff,landmark",alternation,3,True,10.280673503875732,False,74,
zenotravel,task01,"hadd,hff,landmark",max,3,True,0.20677828788757324,False,1,
zenotravel,task02,"hadd,hff,landmark",max,3,True,0.19247746467590332,False,6,
zenotravel,task03,"hadd,hff,landmark",max,3,True,0.26807212829589844,False,6,
zenotravel,task04,"hadd,hff,landmark",max,3,True,0.2730433940887451,False,9,
zenotravel,task05,"hadd,hff,landmark",max,3,True,0.63303542137146,False,16,
zenotravel,task06,"hadd,hff,landmark",max,3,True,0.5078046321868896,False,12,
zenotravel,task07,"hadd,hff,landmark",max,3,True,0.4315962791442871,False,16,
zenotravel,task08,"hadd,hff,landmark",max,3,True,1.0124759674072266,False,13,
zenotravel,task09,"hadd,hff,landmark",max,3,True,1.4748833179473877,False,24,
zenotravel,task10,"hadd,hff,landmark",max,3,True,4.556025743484497,False,26,
zenotravel,task11,"hadd,hff,landmark",max,3,True,2.875847101211548,False,17,
zenotravel,task12,"hadd,hff,landmark",max,3,True,7.0259974002838135,False,25,
zenotravel,task13,"hadd,hff,landmark",max,3,True,7.050950527191162,False,30,
zenotravel,task14,"hadd,hff,landmark",max,3,True,79.90448141098022,False,32,
zenotravel,task15,"hadd,hff,landmark",max,3,True,62.36181044578552,False,47,
zenotravel,task16,"hadd,hff,landmark",max,3,False,300,True,,
zenotravel,task17,"hadd,hff,landmark",max,3,False,300,True,,
zenotravel,task18,"hadd,hff,landmark",max,3,False,300,True,,
zenotravel,task19,"hadd,hff,landmark",max,3,False,300,True,,
zenotravel,task20,"hadd,hff,landmark",max,3,False,300,True,,
zenotravel,task01,"hadd,hff,landmark",alternation,3,True,0.1880197525024414,False,1,
zenotravel,task02,"hadd,hff,landmark",alternation,3,True,0.187300443649292,False,6,
zenotravel,task03,"hadd,hff,landmark",alternation,3,True,0.2747666835784912,False,6,
zenotravel,task04,"hadd,hff,landmark",alternation,3,True,0.2413341999053955,False,8,
zenotravel,task05,"hadd,hff,landmark",alternation,3,True,0.3641841411590576,False,12,
zenotravel,task06,"hadd,hff,landmark",alternation,3,True,0.5562560558319092,False,13,
zenotravel,task07,"hadd,hff,landmark",alternation,3,True,0.513282299041748,False,16,
zenotravel,task08,"hadd,hff,landmark",alternation,3,True,1.3768739700317383,False,14,
zenotravel,task09,"hadd,hff,landmark",alternation,3,True,1.6786623001098633,False,21,
zenotravel,task10,"hadd,hff,landmark",alternation,3,True,3.43104887008667,False,28,
zenotravel,task11,"hadd,hff,landmark",alternation,3,True,4.155577898025513,False,16,
zenotravel,task12,"hadd,hff,landmark",alternation,3,True,4.953395843505859,False,23,
zenotravel,task13,"hadd,hff,landmark",alternation,3,True,8.002021074295044,False,28,
zenotravel,task14,"hadd,hff,landmark",alternation,3,False,300,True,,
zenotravel,task15,"hadd,hff,landmark",alternation,3,True,72.97013640403748,False,44,
zenotravel,task16,"hadd,hff,landmark",alternation,3,False,300,True,,
zenotravel,task17,"hadd,hff,landmark",alternation,3,False,300,True,,
zenotravel,task18,"hadd,hff,landmark",alternation,3,False,300,True,,
zenotravel,task19,"hadd,hff,landmark",alternation,3,False,300,True,,
zenotravel,task20,"hadd,hff,landmark",alternation,3,False,300,True,,
parcprinter,task01,"hadd,hff,landmark",max,3,True,0.26125407218933105,False,8,
parcprinter,task02,"hadd,hff,landmark",max,3,True,0.20692038536071777,False,15,
parcprinter,task03,"hadd,hff,landmark",max,3,True,0.29030346870422363,False,22,
parcprinter,task04,"hadd,hff,landmark",max,3,True,0.41192126274108887,False,29,
parcprinter,task05,"hadd,hff,landmark",max,3,True,0.6522552967071533,False,36,
parcprinter,task06,"hadd,hff,landmark",max,3,True,1.0342938899993896,False,43,
parcprinter,task07,"hadd,hff,landmark",max,3,True,1.694002628326416,False,50,
parcprinter,task08,"hadd,hff,landmark",max,3,True,1.899388074874878,False,57,
parcprinter,task09,"hadd,hff,landmark",max,3,True,3.2819390296936035,False,64,
parcprinter,task10,"hadd,hff,landmark",max,3,True,5.468353509902954,False,71,
parcprinter,task11,"hadd,hff,landmark",max,3,True,0.22229456901550293,False,9,
parcprinter,task12,"hadd,hff,landmark",max,3,True,0.23044586181640625,False,17,
